university_id,University_Name,Type,State_UT,City_District,Year_of_Establishment,Accreditation_NAAC_Grade,NAAC_Score,Approval_Body,Number_of_Courses_UG,Number_of_Courses_PG,Number_of_Courses_Diploma,Number_of_Courses_PhD,NIRF_Ranking_Overall,NIRF_Ranking_by_stream,Hostel_Capacity_Boys,Hostel_Capacity_Girls,Library_Books_Count,Labs_Count_Smart_Classrooms,Placement_Rate_pct,Median_Package_INR,Top_Recruiters,BI_ME_FRP
1,Indian Institute of Technology Bombay,Central,Maharashtra,Mumbai,1958,B++,3.07,UGC,90,72,3,13,,,3516,719,1519141,399,78.6,644059,Cognizant;Infosys;Oracle;Google;TCS,"BasicInfo:Established 1958;Infra:Hostel 4235 seats, Library 1519141 books;Management:Autonomous;Education:UG 90,PG 72,PhD 13;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 78.6% Median 644059"
2,Indian Institute of Technology Delhi,Central,Delhi,New Delhi,1961,A++,3.85,AICTE,79,139,9,6,72,,1314,2961,1570785,299,95.8,1583717,Google;Accenture;L&T;Amazon;TCS,"BasicInfo:Established 1961;Infra:Hostel 4275 seats, Library 1570785 books;Management:Autonomous;Education:UG 79,PG 139,PhD 6;Finance:AnnualFeeApprox;Rankings:NIRF 72;Placement:Rate 95.8% Median 1583717"
3,Indian Institute of Technology Madras,Central,Tamil Nadu,Chennai,1959,B+,2.63,AICTE,198,118,5,22,20,,1381,1678,314350,67,85.4,914309,Google;Infosys;Microsoft;Oracle;Amazon,"BasicInfo:Established 1959;Infra:Hostel 3059 seats, Library 314350 books;Management:Autonomous;Education:UG 198,PG 118,PhD 22;Finance:AnnualFeeApprox;Rankings:NIRF 20;Placement:Rate 85.4% Median 914309"
4,Indian Institute of Technology Kanpur,Central,Uttar Pradesh,Kanpur,1959,B,2.26,UGC;AICTE,157,41,6,10,71,,1700,2874,1397129,205,62.8,918856,Oracle;Accenture;Infosys;TCS;Flipkart,"BasicInfo:Established 1959;Infra:Hostel 4574 seats, Library 1397129 books;Management:Autonomous;Education:UG 157,PG 41,PhD 10;Finance:AnnualFeeApprox;Rankings:NIRF 71;Placement:Rate 62.8% Median 918856"
5,Indian Institute of Technology Kharagpur,Central,West Bengal,Kharagpur,1951,B+,2.55,UGC,79,35,6,22,59,,3103,1794,441110,209,83.1,848328,Microsoft;Accenture;Amazon;Infosys;Wipro,"BasicInfo:Established 1951;Infra:Hostel 4897 seats, Library 441110 books;Management:Autonomous;Education:UG 79,PG 35,PhD 22;Finance:AnnualFeeApprox;Rankings:NIRF 59;Placement:Rate 83.1% Median 848328"
6,Indian Institute of Technology Roorkee,Central,Uttarakhand,Roorkee,1847,B++,2.68,AICTE,61,128,6,22,,,3121,2581,560566,370,80.7,487625,Microsoft;TCS;Accenture;Flipkart;Samsung,"BasicInfo:Established 1847;Infra:Hostel 5702 seats, Library 560566 books;Management:Autonomous;Education:UG 61,PG 128,PhD 22;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 80.7% Median 487625"
7,Indian Institute of Technology Guwahati,Central,Assam,Guwahati,1994,A,3.22,UGC,74,90,3,46,64,,2120,2933,1062282,93,81.1,899873,Amazon;Wipro;Accenture;Cognizant;Samsung,"BasicInfo:Established 1994;Infra:Hostel 5053 seats, Library 1062282 books;Management:Autonomous;Education:UG 74,PG 90,PhD 46;Finance:AnnualFeeApprox;Rankings:NIRF 64;Placement:Rate 81.1% Median 899873"
8,National Institute of Technology Trichy,Central,Tamil Nadu,Tiruchirappalli,1964,B+,2.84,UGC;AICTE,169,112,5,19,18,,2587,2321,290650,44,74.0,2126139,Infosys;Wipro;Flipkart;Google;Samsung,"BasicInfo:Established 1964;Infra:Hostel 4908 seats, Library 290650 books;Management:Autonomous;Education:UG 169,PG 112,PhD 19;Finance:AnnualFeeApprox;Rankings:NIRF 18;Placement:Rate 74.0% Median 2126139"
9,National Institute of Technology Karnataka,Central,Karnataka,Surathkal,1960,A,3.3,UGC;AICTE;PCI,139,145,4,40,2,,3286,769,1529650,294,69.4,1085274,Amazon;Flipkart;Microsoft;Infosys;Samsung,"BasicInfo:Established 1960;Infra:Hostel 4055 seats, Library 1529650 books;Management:Autonomous;Education:UG 139,PG 145,PhD 40;Finance:AnnualFeeApprox;Rankings:NIRF 2;Placement:Rate 69.4% Median 1085274"
10,National Institute of Technology Warangal,Central,Telangana,Warangal,1959,A,3.36,UGC;AICTE,20,77,8,16,65,,935,2861,725884,347,82.1,220164,Cognizant;Oracle;Accenture;Wipro;Microsoft,"BasicInfo:Established 1959;Infra:Hostel 3796 seats, Library 725884 books;Management:Autonomous;Education:UG 20,PG 77,PhD 16;Finance:AnnualFeeApprox;Rankings:NIRF 65;Placement:Rate 82.1% Median 220164"
